running_number,created_at,updated_at,district,subdistrict,province,days_waiting,hours_waiting,location_name,location_other,status_text
HDY68-1123-0002,2025-11-23 15:28:53,2025-11-23 15:28:53,หาดใหญ่,หาดใหญ่,สงขลา,2.4,57.6,,ขอบคุณมากค่ะ,รอการช่วยเหลือ
HDY68-1123-0003,2025-11-23 15:41:12,2025-11-23 15:41:12,หาดใหญ่,คอหงส์,สงขลา,2.39,57.4,,,รอการช่วยเหลือ
HDY68-1123-0004,2025-11-23 16:29:16,2025-11-23 16:29:16,หาดใหญ่,หาดใหญ่,สงขลา,2.36,56.6,,ขาดแคลนอาหารและน้ำดื่ม,รอการช่วยเหลือ
HDY68-1123-0005,2025-11-23 16:34:48,2025-11-23 16:34:48,หาดใหญ่,ควนลัง,สงขลา,2.36,56.5,,มีคนอยู่ในบ้านจำนวน 3 คน ผู้ใหญ่ 2 คน เด็ก 1 คน รบกวนเข้าไปช่วยเหลือด้วยนะคะ ติดต่อไม่ได้ตั้งแต่เมื่อวาน เนื่องจากโดนตัดไฟไปช่วงบ่ายวันเสาร์ และอาหาร น้ำดื่ม ตอนนี้น่าจะหมดแล้วค่ะ เป็นห่วงมากๆรบกวนด้วยนะคะ ขอบคุณค่ะ🙏🏻,รอการช่วยเหลือ
HDY68-1123-0006,2025-11-23 16:46:09,2025-11-23 16:55:51,หาดใหญ่,ควนลัง,สงขลา,2.35,56.4,,บริเวณนี้มีน้ำเชี่ยวแรง,รอการช่วยเหลือ
HDY68-1123-0007,2025-11-23 16:53:14,2025-11-23 16:53:14,หาดใหญ่,หาดใหญ่,สงขลา,2.34,56.2,,โปรดช่วยทุกหลัง ในระแวกนั้นมีผู้สูงอายุอยู่หลายบ้าน,รอการช่วยเหลือ
HDY68-1123-0008,2025-11-23 17:13:00,2025-11-23 17:13:00,หาดใหญ่,ควนลัง,สงขลา,2.33,55.9,,ต้องการอพยพโดยด่วน น้ำขึ้นสูง ต้องไปอยู่บนหลังคา,รอการช่วยเหลือ
HDY68-1124-0009,2025-11-24 01:06:01,2025-11-24 01:06:01,หาดใหญ่,คอหงส์,สงขลา,2.0,48.0,,ในซอยมีบ้านประมาณ 20-30 หลัง ขาดอาหาร คาดว่าการช่วยเหลือยังเข้าไปไม่ถึง ผู้แจ้งเป็นลูกสาวของคนในชุมชนค่ะ,รอการช่วยเหลือ
HDY68-1124-0010,2025-11-24 01:10:58,2025-11-24 01:10:58,หาดใหญ่,หาดใหญ่,สงขลา,2.0,47.9,,ยังไม่เคยได้รับอาหารและความช่วยเหลือ มีคนประมาณ 8 คน ผู้สูงอายุ 1 คน,รอการช่วยเหลือ
HDY68-1124-0011,2025-11-24 01:43:00,2025-11-24 01:43:00,หาดใหญ่,หาดใหญ่,สงขลา,1.98,47.4,,,รอการช่วยเหลือ
HDY68-1124-0012,2025-11-24 01:49:20,2025-11-24 01:49:20,สะเดา,สะเดา,สงขลา,1.97,47.3,,,รอการช่วยเหลือ
HDY68-1124-0013,2025-11-24 03:25:09,2025-11-24 03:25:09,หาดใหญ่,ควนลัง,สงขลา,1.9,45.7,,,รอการช่วยเหลือ
HDY68-1124-0014,2025-11-24 03:56:21,2025-11-24 03:56:21,หาดใหญ่,ควนลัง,สงขลา,1.88,45.2,,รบกวนขออาหารและน้ำหน่อยนะคะ เพราะน้ำท่วมสูงขึ้นเรื่อย ๆ และเข้าวันที่ 3 ทำให้ของที่เตรียมไว้ไม่เพียงพอ คนที่บ้านยังไม่ได้รับความช่วยเหลือใด ๆ เลยค่ะ,รอการช่วยเหลือ
HDY68-1124-0015,2025-11-24 04:24:45,2025-11-24 04:24:45,หาดใหญ่,คอหงส์,สงขลา,1.86,44.7,,เคสนี่ติดต่อไปใม่ได้ครับ ใม่ทราบเเบตหมดหรือยังใง สองวันติดต่อใม่ได้ ติดต่อล่าสุดเจ้าเคสบอกไม่มีกับข้าวกิน สองวันเเล้วถึงวันนี้ คนทางครอบครัวรอตอบรับข่าวดีให้ช่วยได้  เคสนี้พี่ชาย1คน เป็นบ้านเช่า สีฟ้าเเถบขาวบ้านเช่า เเละเพื่อนๆข้างๆห้องมีอีกใม่ทราบจำนวน นํ่ายิ่งขึ้นสูงเเถวนั้น  ขอช่วยเหลือด้วยน่ะครับ คนทางบ้านห่วงสุดๆตอนนี้ เเละขอให้เจ้าหน้าทีปลอดภัยในการช่วยเหลือด้วยครับ รับเคสนี้สำเสร็จ ช่วยติดต่อเบอร์นี้ด้วยน่ะครับ 0930321448 ขอขอบคุณมากๆครับ 🥲✌🏻,รอการช่วยเหลือ
HDY68-1124-0016,2025-11-24 04:42:21,2025-11-24 04:42:21,หาดใหญ่,หาดใหญ่,สงขลา,1.85,44.4,,หนูเป็นลูกสาว ในซอยนั้นมีหลายบ้านที่เดือดร้อนมาก,รอการช่วยเหลือ
HDY68-1124-0017,2025-11-24 04:42:23,2025-11-24 04:42:23,หาดใหญ่,คอหงส์,สงขลา,1.85,44.4,,ไม่มีอาหารอะไรเลย,รอการช่วยเหลือ
HDY68-1124-0018,2025-11-24 04:44:14,2025-11-24 04:44:14,หาดใหญ่,คลองแห,สงขลา,1.85,44.4,,เป็นผู้ชาย1คน สุนัข1ตัว ติดอยู่ที่บ้าน3วันแล้วน้ำสูงเรื่อยๆ ไม่มีไฟ ติดต่อไม่ได้,รอการช่วยเหลือ
HDY68-1124-0019,2025-11-24 04:46:31,2025-11-24 04:46:31,หาดใหญ่,คอหงส์,สงขลา,1.85,44.3,,,รอการช่วยเหลือ
HDY68-1124-0020,2025-11-24 04:46:59,2025-11-24 04:46:59,หาดใหญ่,คอหงส์,สงขลา,1.85,44.3,,ขอความช่วยเหลือด้วยนะคะ ซอย 9/2 ถนน นิพัทธ์สงเคราะห์ 1 ต.หาดใหญ่ ระดับน้ำท่วมสูง เพราะถนนในซอยต่ำกว่าถนนใหญ่ ไม่สามารถออกมาได้ค่ะ บ้านเลขที่ 71-73-75-77-83 มีครอบครัว 4-5 คนต่อหลังคาเรือน  เป็นทาวน์เฮ้าส์ หลายหลัง มีทั้งเด็กเล็ก ผู้ใหญ่และผู้สูงอายุ อาศัยอยู่ชั้น 2 ไม่มีไฟฟ้าค่ะ 0828347622 🙏,รอการช่วยเหลือ
HDY68-1124-0021,2025-11-24 04:47:29,2025-11-24 04:47:29,หาดใหญ่,หาดใหญ่,สงขลา,1.85,44.3,,,รอการช่วยเหลือ
HDY68-1124-0022,2025-11-24 04:47:39,2025-11-24 04:47:39,หาดใหญ่,ควนลัง,สงขลา,1.85,44.3,,"🙏🙏🙏 ขอความช่วยเหลือหน่อยค่ะ น้าสาวกับน้อง 2 คน และแมว 1 ตัว ติดอยู่ในบ้านชั้นครึ่งค่ะ  อยากให้ช่วยพาอพยพหน่อยค่ะ ระดับน้ำเพิ่มขึ้นเรื่อยๆ เลยค่ะ
📌 บ้านเลขที่ 10 ซ.น้อมสุวรรณวงค์1 ม.1 ต.ควนลัง อ.หาดใหญ่ จ.สงขลา
☎️ เบอร์โทรติดต่อ
0918818227 , 0843004716 (น้าดา)
0832657393  (ตังค์)
0838685896 (เตย)
🏠 พิกัดบ้านค่ะ
https://maps.google.com/maps?q=6.988828,100.459229",รอการช่วยเหลือ
HDY68-1124-0023,2025-11-24 04:47:40,2025-11-24 04:47:40,หาดใหญ่,ควนลัง,สงขลา,1.85,44.3,,,รอการช่วยเหลือ
HDY68-1124-0024,2025-11-24 04:48:03,2025-11-24 04:48:03,หาดใหญ่,หาดใหญ่,สงขลา,1.85,44.3,,,รอการช่วยเหลือ
HDY68-1124-0025,2025-11-24 04:48:30,2025-11-24 04:48:30,หาดใหญ่,หาดใหญ่,สงขลา,1.85,44.3,,,รอการช่วยเหลือ
HDY68-1124-0026,2025-11-24 04:49:06,2025-11-24 04:49:06,หาดใหญ่,คอหงส์,สงขลา,1.85,44.3,,ติดอยู่ในบ้านตั้งแต่วันแรกครับ,รอการช่วยเหลือ
HDY68-1124-0027,2025-11-24 04:49:31,2025-11-24 04:49:31,หาดใหญ่,คอหงส์,สงขลา,1.85,44.3,,มีคนติดอยู่ในหมู่บ้านหลายคนไม่สามารถออกมาได้เนื่องจากระดับน้ำสูงขึ้นเรื่อยๆ ขาดน้ำดื่มและอาหาร ขณะนี้น้ำได้ท่วมสูงจนเกือบถึงชั้น 2 ของบ้านแล้วครับ,รอการช่วยเหลือ
HDY68-1124-0028,2025-11-24 04:49:40,2025-11-24 04:49:40,หาดใหญ่,หาดใหญ่,สงขลา,1.85,44.3,,,รอการช่วยเหลือ
HDY68-1124-0029,2025-11-24 04:49:40,2025-11-24 04:49:40,คลองหอยโข่ง,ทุ่งลาน,สงขลา,1.85,44.3,,คนแก่2 พ่อกับป้า หลาน,รอการช่วยเหลือ
HDY68-1124-0030,2025-11-24 04:51:27,2025-11-24 04:51:27,หาดใหญ่,หาดใหญ่,สงขลา,1.84,44.3,,ผู้ป่วยติดเตียงอายุ86ปีให้อาหารทางสายมีแผลกดทับบริเวณก้น ผู้ป่วยไม่ได้อาหารมา3วันแล้วเนื่องจากอาหารทางการแพทย์หมด และมีอาการอ่อนแรงลงมากแล้ว,รอการช่วยเหลือ
HDY68-1124-0031,2025-11-24 04:54:50,2025-11-24 04:54:50,หาดใหญ่,ควนลัง,สงขลา,1.84,44.2,,ตอนนี้ที่บ้านขาดอาหารและน้ำตอนนี้ที่บ้านขาดอาหารและน้ำมากเลยค่ะมากเรยค่ะ,รอการช่วยเหลือ
HDY68-1124-0032,2025-11-24 04:56:17,2025-11-24 04:56:17,หาดใหญ่,ควนลัง,สงขลา,1.84,44.2,,"ติดอยู่บนวัดท่าเคียนประมาณ40กว่าคน ตอนนี้น้ำถึงคอแล้วไม่มีอาหารกินเลย ไม่มีหน่วยงานเข้ามาเลยค่ะ ช่วยหน่อยค่ะ
โทรศัพท์ไม่มีแบตเลย
อย่างน้อยขอน้ำยา อาหารหน่อยค่ะ และต้องการเทียน ไฟ
มากๆค่ะ ช่วยหน่อยค่ะ
0887838855",รอการช่วยเหลือ
HDY68-1124-0033,2025-11-24 04:56:57,2025-11-24 04:56:57,หาดใหญ่,หาดใหญ่,สงขลา,1.84,44.2,,น้ำำลึกจนท่วมชั้น 1 ประมาณ 3 เมตรค่ะ,รอการช่วยเหลือ
HDY68-1124-0034,2025-11-24 04:56:58,2025-11-24 04:56:58,หาดใหญ่,คลองแห,สงขลา,1.84,44.2,,,รอการช่วยเหลือ
