district,province,total_cases,avg_days,median_days,min_days,max_days,avg_hours,max_hours
หาดใหญ่,สงขลา,8413,0.95,0.97,0.0,2.4,22.87,57.64
บางกล่ำ,สงขลา,139,0.9,0.9,0.22,1.54,21.55,36.85
คลองหอยโข่ง,สงขลา,126,1.03,1.03,0.02,1.85,24.61,44.3
จะนะ,สงขลา,114,0.84,0.89,0.02,1.45,20.2,34.8
นาหม่อม,สงขลา,60,0.85,0.87,0.03,1.5,20.42,36.06
สะเดา,สงขลา,53,0.99,0.98,0.1,1.97,23.66,47.3
นาทวี,สงขลา,37,0.94,0.97,0.01,1.23,22.53,29.46
เมืองสงขลา,สงขลา,36,0.79,0.86,0.03,1.54,19.02,36.9
-,-,30,0.48,0.47,0.03,0.77,11.43,18.53
เมืองยะลา,ยะลา,16,0.78,0.82,0.09,1.06,18.68,25.53
เทพา,สงขลา,16,0.81,0.96,0.25,1.14,19.52,27.33
เมืองสตูล,สตูล,15,0.87,0.89,0.38,1.52,20.79,36.42
รัตภูมิ,สงขลา,14,0.93,0.97,0.33,1.23,22.28,29.51
ควนเนียง,สงขลา,10,0.89,0.91,0.46,1.19,21.37,28.49
ปากพะยูน,พัทลุง,9,0.68,0.65,0.32,1.17,16.2,27.98
สิงหนคร,สงขลา,8,0.93,0.94,0.56,1.17,22.25,27.97
ละงู,สตูล,7,0.89,1.15,0.4,1.22,21.43,29.3
ศรีราชา,ชลบุรี,6,1.02,1.03,0.84,1.17,24.59,28.16
กิ่งอำเภอมะนัง,สตูล,6,0.84,0.89,0.45,1.08,20.2,25.8
ควนกาหลง,สตูล,5,1.15,1.11,0.81,1.51,27.53,36.23
สะบ้าย้อย,สงขลา,4,1.11,1.13,0.99,1.16,26.53,27.84
หนองจิก,ปัตตานี,3,0.61,0.8,0.14,0.87,14.54,21.0
ปะเหลียน,ตรัง,2,0.5,0.5,0.01,0.98,11.88,23.57
เมืองตรัง,ตรัง,2,0.52,0.52,0.01,1.02,12.36,24.37
เมืองเชียงใหม่,เชียงใหม่,2,1.08,1.08,0.96,1.2,25.91,28.72
ระโนด,สงขลา,2,1.34,1.34,0.87,1.8,32.08,43.17
ย่านตาขาว,ตรัง,2,0.58,0.58,0.26,0.9,13.89,21.53
สิชล,นครศรีธรรมราช,2,0.92,0.92,0.84,1.0,22.14,24.1
พุนพิน,สุราษฎร์ธานี,2,1.01,1.01,0.97,1.05,24.27,25.15
ตะโหมด,พัทลุง,2,1.1,1.1,0.74,1.46,26.5,35.16
บางนา,กรุงเทพมหานคร,2,0.51,0.51,0.44,0.58,12.19,13.8
ควนโดน,สตูล,2,1.24,1.24,1.04,1.45,29.85,34.83
ปลายพระยา,กระบี่,1,1.01,1.01,1.01,1.01,24.27,24.27
คลองลาน,กำแพงเพชร,1,0.57,0.57,0.57,0.57,13.76,13.76
เกาะลันตา,กระบี่,1,0.41,0.41,0.41,0.41,9.88,9.88
เกาะสมุย,สุราษฎร์ธานี,1,0.88,0.88,0.88,0.88,21.06,21.06
เขาชัยสน,พัทลุง,1,0.96,0.96,0.96,0.96,23.12,23.12
เขาพนม,กระบี่,1,1.01,1.01,1.01,1.01,24.34,24.34
เคียนซา,สุราษฎร์ธานี,1,0.86,0.86,0.86,0.86,20.63,20.63
คลองหลวง,ปทุมธานี,1,0.16,0.16,0.16,0.16,3.9,3.9
เบตง,ยะลา,1,0.89,0.89,0.89,0.89,21.4,21.4
เมืองนครปฐม,นครปฐม,1,0.48,0.48,0.48,0.48,11.46,11.46
เมืองนครศรีธรรมราช,นครศรีธรรมราช,1,0.84,0.84,0.84,0.84,20.17,20.17
เมืองปทุมธานี,ปทุมธานี,1,0.42,0.42,0.42,0.42,9.97,9.97
เมืองภูเก็ต,ภูเก็ต,1,0.46,0.46,0.46,0.46,11.07,11.07
กิ่งอำเภอกุดรัง,มหาสารคาม,1,1.07,1.07,1.07,1.07,25.74,25.74
กาบัง,ยะลา,1,1.13,1.13,1.13,1.13,27.18,27.18
กะทู้,ภูเก็ต,1,0.85,0.85,0.85,0.85,20.35,20.35
เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,1,0.63,0.63,0.63,0.63,15.12,15.12
กระแสสินธุ์,สงขลา,1,1.1,1.1,1.1,1.1,26.34,26.34
ควนขนุน,พัทลุง,1,0.75,0.75,0.75,0.75,18.0,18.0
จตุจักร,กรุงเทพมหานคร,1,0.78,0.78,0.78,0.78,18.83,18.83
ปะนาเระ,ปัตตานี,1,0.63,0.63,0.63,0.63,15.24,15.24
นาโยง,ตรัง,1,1.16,1.16,1.16,1.16,27.87,27.87
บาเจาะ,นราธิวาส,1,0.99,0.99,0.99,0.99,23.75,23.75
บางละมุง,ชลบุรี,1,0.84,0.84,0.84,0.84,20.21,20.21
ป่าบอน,พัทลุง,1,1.12,1.12,1.12,1.12,26.83,26.83
ป่าพะยอม,พัทลุง,1,1.19,1.19,1.19,1.19,28.53,28.53
กรงปินัง,ยะลา,1,1.01,1.01,1.01,1.01,24.26,24.26
มายอ,ปัตตานี,1,1.14,1.14,1.14,1.14,27.4,27.4
บางขัน,นครศรีธรรมราช,1,1.08,1.08,1.08,1.08,25.88,25.88
ราชเทวี,กรุงเทพมหานคร,1,0.57,0.57,0.57,0.57,13.78,13.78
ดินแดง,กรุงเทพมหานคร,1,0.65,0.65,0.65,0.65,15.59,15.59
รามัน,ยะลา,1,1.22,1.22,1.22,1.22,29.33,29.33
ท่าฉาง,สุราษฎร์ธานี,1,0.89,0.89,0.89,0.89,21.34,21.34
วัฒนา,กรุงเทพมหานคร,1,0.86,0.86,0.86,0.86,20.58,20.58
ทุ่งยางแดง,ปัตตานี,1,1.08,1.08,1.08,1.08,25.94,25.94
สทิงพระ,สงขลา,1,0.84,0.84,0.84,0.84,20.27,20.27
ทุ่งครุ,กรุงเทพมหานคร,1,0.54,0.54,0.54,0.54,12.86,12.86
สายบุรี,ปัตตานี,1,0.04,0.04,0.04,0.04,0.95,0.95
โคกโพธิ์,ปัตตานี,1,0.83,0.83,0.83,0.83,19.86,19.86
